순위,title,artist,장르
52위,내 맘을 너에게 줄게 (Vocal by 고예정), ashWave (애쉬웨이브),포크/어쿠스틱
53위,Be My Birthday, 하현상,포크/어쿠스틱
54위,입김, 10CM,포크/어쿠스틱
55위,로맨틱 선데이, 카더가든,포크/어쿠스틱
56위,그게 뭐라고, 어쿠루브(Acourve),포크/어쿠스틱
57위,첫사랑, 버스커 버스커(Busker Busker),포크/어쿠스틱
58위,Little Star, 스탠딩 에그(Standing Egg),포크/어쿠스틱
59위,#첫사랑, 볼빨간사춘기,포크/어쿠스틱
60위,니가 보고싶은 밤, 윤딴딴,포크/어쿠스틱
61위,추억, 박창근,포크/어쿠스틱
62위,너에게 난,,포크/어쿠스틱
63위,대화가 필요해, 더 자두(The Jadu),포크/어쿠스틱
64위,겨울을 걷는다, 윤딴딴,포크/어쿠스틱
65위,X Song, 볼빨간사춘기,포크/어쿠스틱
66위,그라데이션 (Inst), 10CM,포크/어쿠스틱
67위,밤 끝없는 밤, AKMU(악뮤),포크/어쿠스틱
68위,라라라, 이수영,포크/어쿠스틱
69위,백만송이 장미, 고우림,포크/어쿠스틱
70위,잠 못 드는 밤 비는 내리고, 아이유(IU),포크/어쿠스틱
71위,나의 외로움이 널 부를 때, 장필순,포크/어쿠스틱
72위,Nightfalling, 존 박,포크/어쿠스틱
73위,이상한 사람, 존 박,포크/어쿠스틱
74위,스윗해, 이무진,포크/어쿠스틱
75위,좋아 좋아, 일기예보,포크/어쿠스틱
76위,And we go, 성시경,포크/어쿠스틱
77위,처음엔 사랑이란게, 버스커 버스커(Busker Busker),포크/어쿠스틱
78위,Rose, 디오 (D.O.),포크/어쿠스틱
79위,일종의 고백 (Female Ver.), 헨(Hen),포크/어쿠스틱
80위,품이 되어줄래, 박은별,포크/어쿠스틱
81위,사실,,포크/어쿠스틱
82위,귀거래사(歸去來辭), 김신우,포크/어쿠스틱
83위,작은별, AKMU(악뮤),포크/어쿠스틱
84위,그러나, 10CM,포크/어쿠스틱
85위,사랑 Two, 윤도현,포크/어쿠스틱
86위,서른 즈음에, 김광석,포크/어쿠스틱
87위,쓰담쓰담, 10CM,포크/어쿠스틱
88위,낙수, 버둥,포크/어쿠스틱
89위,헤어지던 밤, 어쿠루브(Acourve),포크/어쿠스틱
90위,물 만난 물고기, AKMU(악뮤),포크/어쿠스틱
91위,잊어야 한다는 마음으로, 김광석,포크/어쿠스틱
92위,수고했어,,포크/어쿠스틱
93위,김성호의 회상, 김성호,포크/어쿠스틱
94위,그대 사랑 앞에 다시 선 나 (2022 Re:born), 박창근,포크/어쿠스틱
95위,빌런 (Villain), 스텔라 장(Stella Jang),포크/어쿠스틱
96위,시청 앞 지하철 역에서, 곽진언,포크/어쿠스틱
97위,그댄 봄비를 무척 좋아하나요, 이혜민 배따라기,포크/어쿠스틱
98위,오빠야, 신현희와김루트,포크/어쿠스틱
99위,찬바람이 불면, 김지연,포크/어쿠스틱
100위,집시여인, 이치현과 벗님들,포크/어쿠스틱
1위,LOVE me, BE'O (비오),랩/힙합
2위,MY BAG, (여자)아이들,랩/힙합
3위,없었던 일로, 헤이즈(Heize),랩/힙합
4위,Yet To Come, 방탄소년단,랩/힙합
